Date,Close,Signal,Portfolio
2020-01-02,152.791,HOLD,10000
2020-01-03,150.889,HOLD,10000
2020-01-06,151.279,HOLD,10000
2020-01-07,149.899,HOLD,10000
2020-01-08,152.287,HOLD,10000
2020-01-09,154.189,HOLD,10000
2020-01-10,153.476,HOLD,10000
2020-01-13,155.321,HOLD,10000
2020-01-14,154.228,HOLD,10000
2020-01-15,155.226,HOLD,10000
2020-01-16,158.071,HOLD,10000
2020-01-17,158.955,HOLD,10000
2020-01-21,158.384,HOLD,10000
2020-01-22,157.624,HOLD,10000
2020-01-23,158.594,HOLD,10000
2020-01-24,156.996,HOLD,10000
2020-01-27,154.37,HOLD,10000
2020-01-28,157.395,HOLD,10000
2020-01-29,159.849,HOLD,10000
2020-01-30,164.358,BUY,9861.5
2020-01-31,161.933,HOLD,9715.96
2020-02-03,165.88,HOLD,9952.83
2020-02-04,171.341,HOLD,10280.4
2020-02-05,171.131,HOLD,10267.9
2020-02-06,174.68,HOLD,10480.8
2020-02-07,174.927,HOLD,10495.6
2020-02-10,179.502,HOLD,10770.1
2020-02-11,175.45,HOLD,10527
2020-02-12,175.707,HOLD,10542.4
2020-02-13,174.756,HOLD,10485.3
2020-02-14,176.316,HOLD,10578.9
2020-02-18,178.104,HOLD,10686.2
2020-02-19,178.638,HOLD,10718.3
2020-02-20,175.91,HOLD,10554.6
2020-02-21,170.349,HOLD,10221
2020-02-24,163.005,HOLD,9780.27
2020-02-25,160.315,HOLD,9618.88
2020-02-26,162.318,HOLD,9739.06
2020-02-27,150.881,HOLD,9052.86
2020-02-28,154.534,HOLD,9272.06
2020-03-02,164.817,HOLD,9889.01
2020-03-03,156.919,HOLD,9415.14
2020-03-04,162.68,HOLD,9760.82
2020-03-05,158.598,HOLD,9515.86
2020-03-06,154.115,HOLD,9246.88
2020-03-09,143.67,HOLD,8620.19
2020-03-10,153.495,HOLD,9209.68
2020-03-11,146.541,HOLD,8792.46
2020-03-12,132.643,HOLD,7958.6
2020-03-13,151.501,SELL,9090.06
2020-03-16,129.171,HOLD,9090.06
2020-03-17,139.807,HOLD,9090.06
2020-03-18,133.921,HOLD,9090.06
2020-03-19,136.125,HOLD,9090.06
2020-03-20,131.012,HOLD,9090.06
2020-03-23,129.705,HOLD,9090.06
2020-03-24,141.495,HOLD,9090.06
2020-03-25,140.141,HOLD,9090.06
2020-03-26,148.907,HOLD,9090.06
2020-03-27,142.792,HOLD,9090.06
2020-03-30,152.836,HOLD,9090.06
2020-03-31,150.433,HOLD,9090.06
2020-04-01,145.091,HOLD,9090.06
2020-04-02,148.096,HOLD,9090.06
2020-04-03,146.732,HOLD,9090.06
2020-04-06,157.644,HOLD,9090.06
2020-04-07,155.946,HOLD,9090.06
2020-04-08,157.51,HOLD,9090.06
2020-04-09,157.52,HOLD,9090.06
2020-04-13,157.873,HOLD,9090.06
2020-04-14,165.685,HOLD,9090.06
2020-04-15,163.949,HOLD,9090.06
2020-04-16,168.871,HOLD,9090.06
2020-04-17,170.359,HOLD,9090.06
2020-04-20,166.982,HOLD,9090.06
2020-04-21,160.076,HOLD,9090.06
2020-04-22,165.513,BUY,8937.71
2020-04-23,163.51,HOLD,8829.55
2020-04-24,166.496,HOLD,8990.77
2020-04-27,166.019,HOLD,8965.01
2020-04-28,161.974,HOLD,8746.62
2020-04-29,169.243,HOLD,9139.11
2020-04-30,170.941,HOLD,9230.8
2020-05-01,166.515,HOLD,8991.8
2020-05-04,170.588,HOLD,9211.74
2020-05-05,172.419,HOLD,9310.63
2020-05-06,174.117,HOLD,9402.32
2020-05-07,175.128,HOLD,9456.92
2020-05-08,176.158,HOLD,9512.55
2020-05-11,178.123,HOLD,9618.65
2020-05-12,174.088,HOLD,9400.77
2020-05-13,171.456,HOLD,9258.61
2020-05-14,172.2,HOLD,9298.79
2020-05-15,174.708,HOLD,9434.25
2020-05-18,176.378,HOLD,9524.39
2020-05-19,175.157,HOLD,9458.46
2020-05-20,177.586,HOLD,9589.66
2020-05-21,175.453,HOLD,9474.47
2020-05-22,175.53,HOLD,9478.61
2020-05-26,173.674,HOLD,9378.4
2020-05-27,173.904,HOLD,9390.8
2020-05-28,173.511,HOLD,9369.62
2020-05-29,175.281,HOLD,9465.18
2020-06-01,174.879,HOLD,9443.48
2020-06-02,176.869,HOLD,9550.92
2020-06-03,177.299,HOLD,9574.16
2020-06-04,174.965,HOLD,9448.13
2020-06-05,179.059,HOLD,9669.2
2020-06-08,180.169,HOLD,9729.12
2020-06-09,181.546,HOLD,9803.49
2020-06-10,188.28,HOLD,10167.1
2020-06-11,178.17,HOLD,9621.16
2020-06-12,179.576,HOLD,9697.09
2020-06-15,180.724,HOLD,9759.07
2020-06-16,185.152,HOLD,9998.22
2020-06-17,185.793,HOLD,10032.8
2020-06-18,187.783,HOLD,10140.3
2020-06-19,186.664,HOLD,10079.8
2020-06-22,191.848,HOLD,10359.8
2020-06-23,193.13,HOLD,10429
2020-06-24,189.237,HOLD,10218.8
2020-06-25,191.628,HOLD,10347.9
2020-06-26,187.792,HOLD,10140.8
2020-06-29,189.81,HOLD,10249.8
2020-06-30,194.66,HOLD,10511.6
2020-07-01,195.798,HOLD,10573.1
2020-07-02,197.29,HOLD,10653.7
2020-07-06,201.537,HOLD,10883
2020-07-07,199.194,HOLD,10756.5
2020-07-08,203.575,HOLD,10993
2020-07-09,205,HOLD,11070
2020-07-10,204.378,HOLD,11036.4
2020-07-13,198.065,HOLD,10695.5
2020-07-14,199.29,HOLD,10761.6
2020-07-15,198.993,HOLD,10745.6
2020-07-16,195.052,HOLD,10532.8
2020-07-17,194.057,HOLD,10479.1
2020-07-20,202.398,HOLD,10929.5
2020-07-21,199.672,HOLD,10782.3
2020-07-22,202.542,HOLD,10937.2
2020-07-23,193.732,HOLD,10461.5
2020-07-24,192.546,HOLD,10397.5
2020-07-27,194.985,HOLD,10529.2
2020-07-28,193.235,HOLD,10434.7
2020-07-29,195.186,HOLD,10540
2020-07-30,195.033,HOLD,10531.8
2020-07-31,196.095,HOLD,10589.1
2020-08-03,207.123,HOLD,11184.7
2020-08-04,204.015,HOLD,11016.8
2020-08-05,203.68,HOLD,10998.7
2020-08-06,206.942,HOLD,11174.8
2020-08-07,203.24,HOLD,10975
2020-08-10,199.194,HOLD,10756.5
2020-08-11,194.536,HOLD,10504.9
2020-08-12,200.093,HOLD,10805
2020-08-13,199.624,HOLD,10779.7
2020-08-14,199.816,HOLD,10790
2020-08-17,201.136,HOLD,10861.3
2020-08-18,202.293,HOLD,10923.8
2020-08-19,201.066,HOLD,10857.5
2020-08-20,205.745,HOLD,11110.2
2020-08-21,204.249,HOLD,11029.4
2020-08-24,204.891,HOLD,11064.1
2020-08-25,207.557,HOLD,11208.1
2020-08-26,212.044,HOLD,11450.4
2020-08-27,217.251,HOLD,11731.5
2020-08-28,219.485,HOLD,11852.2
2020-08-31,216.244,HOLD,11677.2
2020-09-01,217.912,HOLD,11767.3
2020-09-02,222.112,HOLD,11994
2020-09-03,208.353,HOLD,11251
2020-09-04,205.428,HOLD,11093.1
2020-09-08,194.316,HOLD,10493
2020-09-09,202.59,HOLD,10939.9
2020-09-10,196.914,HOLD,10633.4
2020-09-11,195.629,HOLD,10564
2020-09-14,196.952,HOLD,10635.4
2020-09-15,200.184,HOLD,10809.9
2020-09-16,196.607,HOLD,10616.8
2020-09-17,194.555,HOLD,10506
2020-09-18,192.139,HOLD,10375.5
2020-09-21,194.201,HOLD,10486.8
2020-09-22,198.88,HOLD,10739.5
2020-09-23,192.331,HOLD,10385.9
2020-09-24,194.824,HOLD,10520.5
2020-09-25,199.263,HOLD,10760.2
2020-09-28,200.816,SELL,10844.1
2020-09-29,198.726,HOLD,10844.1
2020-09-30,201.67,HOLD,10844.1
2020-10-01,203.712,HOLD,10844.1
2020-10-02,197.7,HOLD,10844.1
2020-10-05,201.718,HOLD,10844.1
2020-10-06,197.432,HOLD,10844.1
2020-10-07,201.19,HOLD,10844.1
2020-10-08,201.909,HOLD,10844.1
2020-10-09,206.924,HOLD,10844.1
2020-10-12,212.284,HOLD,10844.1
2020-10-13,213.684,HOLD,10844.1
2020-10-14,211.766,HOLD,10844.1
2020-10-15,210.616,HOLD,10844.1
2020-10-16,210.616,HOLD,10844.1
2020-10-19,205.4,HOLD,10844.1
2020-10-20,205.812,HOLD,10844.1
2020-10-21,205.956,BUY,10709.7
2020-10-22,206.042,HOLD,10714.2
2020-10-23,207.327,HOLD,10781
2020-10-26,201.43,HOLD,10474.4
2020-10-27,204.47,HOLD,10632.4
2020-10-28,194.335,HOLD,10105.4
2020-10-29,196.291,HOLD,10207.1
2020-10-30,194.133,HOLD,10094.9
2020-11-02,193.999,HOLD,10088
2020-11-03,197.93,HOLD,10292.4
2020-11-04,207.48,HOLD,10789
2020-11-05,214.096,HOLD,11133
2020-11-06,214.508,HOLD,11154.4
2020-11-09,209.398,HOLD,10888.7
2020-11-10,202.322,HOLD,10520.7
2020-11-11,207.634,HOLD,10797
2020-11-12,206.569,HOLD,10741.6
2020-11-13,207.595,HOLD,10795
2020-11-16,208.286,HOLD,10830.9
2020-11-17,205.63,HOLD,10692.7
2020-11-18,202.919,HOLD,10551.8
2020-11-19,204.207,HOLD,10618.8
2020-11-20,202.255,HOLD,10517.3
2020-11-23,201.986,HOLD,10503.3
2020-11-24,205.591,HOLD,10690.7
2020-11-25,205.601,HOLD,10691.2
2020-11-27,206.908,HOLD,10759.2
2020-11-30,205.793,HOLD,10701.2
2020-12-01,207.85,HOLD,10808.2
2020-12-02,207.043,HOLD,10766.2
2020-12-03,205.957,HOLD,10709.7
2020-12-04,206.072,HOLD,10715.7
2020-12-07,206.005,HOLD,10712.2
2020-12-08,207.658,HOLD,10798.2
2020-12-09,203.611,HOLD,10587.8
2020-12-10,202.38,HOLD,10523.8
2020-12-11,205.014,HOLD,10660.7
2020-12-14,205.918,HOLD,10707.7
2020-12-15,205.851,SELL,10704.2
2020-12-16,210.802,HOLD,10704.2
2020-12-17,210.936,BUY,10546.8
2020-12-18,210.138,HOLD,10506.9
2020-12-21,213.984,HOLD,10699.2
2020-12-22,215.282,HOLD,10764.1
2020-12-23,212.474,HOLD,10623.7
2020-12-24,214.137,HOLD,10706.9
2020-12-28,216.262,HOLD,10813.1
2020-12-29,215.483,HOLD,10774.2
2020-12-30,213.109,HOLD,10655.4
2020-12-31,213.82,HOLD,10691
2021-01-04,209.273,HOLD,10463.7
2021-01-05,209.475,HOLD,10473.8
2021-01-06,204.044,HOLD,10202.2
2021-01-07,209.85,HOLD,10492.5
2021-01-08,211.129,HOLD,10556.4
2021-01-11,209.081,HOLD,10454
2021-01-12,206.62,HOLD,10331
2021-01-13,207.975,HOLD,10398.8
2021-01-14,204.784,HOLD,10239.2
2021-01-15,204.428,HOLD,10221.4
2021-01-19,208.072,HOLD,10403.6
2021-01-20,215.666,HOLD,10783.3
2021-01-21,216.272,HOLD,10813.6
2021-01-22,217.214,HOLD,10860.7
2021-01-25,220.655,HOLD,11032.8
2021-01-26,223.347,HOLD,11167.4
2021-01-27,223.895,HOLD,11194.8
2021-01-28,229.692,HOLD,11484.6
2021-01-29,222.991,HOLD,11149.6
2021-02-01,230.384,HOLD,11519.2
2021-02-02,230.249,HOLD,11512.5
2021-02-03,233.605,HOLD,11680.2
2021-02-04,232.653,HOLD,11632.6
2021-02-05,232.835,HOLD,11641.8
2021-02-08,233.095,HOLD,11654.8
2021-02-09,234.345,HOLD,11717.2
2021-02-10,233.432,HOLD,11671.6
2021-02-11,235.037,HOLD,11751.8
2021-02-12,235.518,HOLD,11775.9
2021-02-16,234.277,HOLD,11713.9
2021-02-17,235.299,HOLD,11764.9
2021-02-18,234.904,HOLD,11745.2
2021-02-19,232.187,HOLD,11609.3
2021-02-22,225.962,HOLD,11298.1
2021-02-23,224.767,HOLD,11238.4
2021-02-24,226.001,HOLD,11300
2021-02-25,220.643,HOLD,11032.2
2021-02-26,223.91,HOLD,11195.5
2021-03-01,228.304,HOLD,11415.2
2021-03-02,225.345,HOLD,11267.3
2021-03-03,219.265,HOLD,10963.3
2021-03-04,218.466,HOLD,10923.3
2021-03-05,223.158,HOLD,11157.9
2021-03-08,219.102,HOLD,10955.1
2021-03-09,225.259,HOLD,11262.9
2021-03-10,223.948,HOLD,11197.4
2021-03-11,228.487,HOLD,11424.3
2021-03-12,227.157,HOLD,11357.8
2021-03-15,226.251,HOLD,11312.6
2021-03-16,229.045,HOLD,11452.3
2021-03-17,228.4,HOLD,11420
2021-03-18,222.31,HOLD,11115.5
2021-03-19,221.954,HOLD,11097.7
2021-03-22,227.388,HOLD,11369.4
2021-03-23,228.92,HOLD,11446
2021-03-24,226.877,SELL,11343.9
2021-03-25,223.871,HOLD,11343.9
2021-03-26,227.86,HOLD,11343.9
2021-03-29,226.665,HOLD,11343.9
2021-03-30,223.399,HOLD,11343.9
2021-03-31,227.176,HOLD,11343.9
2021-04-01,233.516,HOLD,11343.9
2021-04-05,239.991,HOLD,11343.9
2021-04-06,238.825,HOLD,11343.9
2021-04-07,240.791,BUY,11317.2
2021-04-08,244.019,HOLD,11468.9
2021-04-09,246.524,HOLD,11586.6
2021-04-12,246.582,HOLD,11589.4
2021-04-13,249.068,HOLD,11706.2
2021-04-14,246.274,HOLD,11574.9
2021-04-15,250.041,HOLD,11751.9
2021-04-16,251.236,HOLD,11808.1
2021-04-19,249.309,HOLD,11717.5
2021-04-20,248.846,HOLD,11695.8
2021-04-21,251.082,HOLD,11800.8
2021-04-22,247.796,HOLD,11646.4
2021-04-23,251.631,HOLD,11826.7
2021-04-26,252.016,HOLD,11844.8
2021-04-27,252.421,HOLD,11863.8
2021-04-28,245.281,HOLD,11528.2
2021-04-29,243.306,HOLD,11435.4
2021-04-30,242.988,HOLD,11420.4
2021-05-03,242.68,HOLD,11405.9
2021-05-04,238.758,HOLD,11221.6
2021-05-05,237.486,HOLD,11161.8
2021-05-06,240.627,HOLD,11309.5
2021-05-07,243.258,HOLD,11433.1
2021-05-10,238.17,HOLD,11194
2021-05-11,237.255,HOLD,11151
2021-05-12,230.288,HOLD,10823.6
2021-05-13,234.171,HOLD,11006.1
2021-05-14,239.105,HOLD,11237.9
2021-05-17,236.243,HOLD,11103.4
2021-05-18,234.22,HOLD,11008.3
2021-05-19,234.799,HOLD,11035.6
2021-05-20,238.044,HOLD,11188.1
2021-05-21,236.779,HOLD,11128.6
2021-05-24,242.197,HOLD,11383.3
2021-05-25,243.105,HOLD,11425.9
2021-05-26,242.883,SELL,11415.5
2021-05-27,240.777,HOLD,11415.5
2021-05-28,241.135,HOLD,11415.5
2021-06-01,238.933,HOLD,11415.5
2021-06-02,238.836,HOLD,11415.5
2021-06-03,237.301,HOLD,11415.5
2021-06-04,242.207,HOLD,11415.5
2021-06-07,245.123,HOLD,11415.5
2021-06-08,243.926,HOLD,11415.5
2021-06-09,244.911,HOLD,11415.5
2021-06-10,248.436,HOLD,11415.5
2021-06-11,249.064,HOLD,11415.5
2021-06-14,250.995,HOLD,11415.5
2021-06-15,249.518,HOLD,11415.5
2021-06-16,248.571,HOLD,11415.5
2021-06-17,251.971,BUY,11338.7
2021-06-18,250.551,HOLD,11274.8
2021-06-21,253.641,HOLD,11413.9
2021-06-22,256.423,HOLD,11539
2021-06-23,256.191,HOLD,11528.6
2021-06-24,257.562,HOLD,11590.3
2021-06-25,255.95,HOLD,11517.7
2021-06-28,259.523,HOLD,11678.5
2021-06-29,262.111,HOLD,11795
2021-06-30,261.628,HOLD,11773.3
2021-07-01,262.304,HOLD,11803.7
2021-07-02,268.147,HOLD,12066.6
2021-07-06,268.157,HOLD,12067.1
2021-07-07,270.349,HOLD,12165.7
2021-07-08,267.925,HOLD,12056.6
2021-07-09,268.427,HOLD,12079.2
2021-07-12,267.829,HOLD,12052.3
2021-07-13,271.363,HOLD,12211.4
2021-07-14,272.841,HOLD,12277.8
2021-07-15,271.412,HOLD,12213.5
2021-07-16,271.141,HOLD,12201.4
2021-07-19,267.529,HOLD,12038.8
2021-07-20,269.76,HOLD,12139.2
2021-07-21,271.769,HOLD,12229.6
2021-07-22,276.347,HOLD,12435.6
2021-07-23,279.756,HOLD,12589
2021-07-26,279.157,HOLD,12562.1
2021-07-27,276.733,HOLD,12453
2021-07-28,276.424,HOLD,12439.1
2021-07-29,276.694,HOLD,12451.3
2021-07-30,275.159,HOLD,12382.2
2021-08-02,275.072,HOLD,12378.2
2021-08-03,277.293,HOLD,12478.2
2021-08-04,276.704,HOLD,12451.7
2021-08-05,279.611,HOLD,12582.5
2021-08-06,279.553,HOLD,12579.9
2021-08-09,278.462,HOLD,12530.8
2021-08-10,276.637,HOLD,12448.6
2021-08-11,277.129,HOLD,12470.8
2021-08-12,279.891,HOLD,12595.1
2021-08-13,282.827,HOLD,12727.2
2021-08-16,284.517,HOLD,12803.3
2021-08-17,283.049,HOLD,12737.2
2021-08-18,281.317,HOLD,12659.3
2021-08-19,287.162,HOLD,12922.3
2021-08-20,294.506,HOLD,13252.8
2021-08-23,294.787,HOLD,13265.4
2021-08-24,292.822,HOLD,13177
2021-08-25,292.232,HOLD,13150.4
2021-08-26,289.407,HOLD,13023.3
2021-08-27,290.016,HOLD,13050.7
2021-08-30,293.761,HOLD,13219.2
2021-08-31,292.106,HOLD,13144.8
2021-09-01,292.058,HOLD,13142.6
2021-09-02,291.4,HOLD,13113
2021-09-03,291.39,HOLD,13112.6
2021-09-07,290.461,HOLD,13070.8
2021-09-08,290.49,HOLD,13072.1
2021-09-09,287.626,HOLD,12943.2
2021-09-10,286.136,HOLD,12876.1
2021-09-13,287.375,HOLD,12931.9
2021-09-14,290.084,HOLD,13053.8
2021-09-15,294.951,HOLD,13272.8
2021-09-16,295.338,HOLD,13290.2
2021-09-17,290.161,HOLD,13057.3
2021-09-20,284.772,HOLD,12814.7
2021-09-21,285.255,HOLD,12836.5
2021-09-22,288.913,HOLD,13001.1
2021-09-23,289.861,HOLD,13043.8
2021-09-24,289.658,HOLD,13034.6
2021-09-27,284.646,HOLD,12809.1
2021-09-28,274.341,HOLD,12345.3
2021-09-29,274.805,HOLD,12366.2
2021-09-30,272.793,HOLD,12275.7
2021-10-01,279.74,HOLD,12588.3
2021-10-04,273.944,HOLD,12327.5
2021-10-05,279.411,HOLD,12573.5
2021-10-06,283.62,SELL,12762.9
2021-10-07,285.304,HOLD,12762.9
2021-10-08,285.304,HOLD,12762.9
2021-10-11,284.704,HOLD,12762.9
2021-10-12,283.398,HOLD,12762.9
2021-10-13,286.717,HOLD,12762.9
2021-10-14,292.948,HOLD,12762.9
2021-10-15,294.361,HOLD,12762.9
2021-10-18,297.341,HOLD,12762.9
2021-10-19,298.251,HOLD,12762.9
2021-10-20,297.457,HOLD,12762.9
2021-10-21,300.699,HOLD,12762.9
2021-10-22,299.151,HOLD,12762.9
2021-10-25,298.154,HOLD,12762.9
2021-10-26,300.07,HOLD,12762.9
2021-10-27,312.707,BUY,12508.3
2021-10-28,313.849,HOLD,12554
2021-10-29,320.883,HOLD,12835.3
2021-11-01,318.706,HOLD,12748.2
2021-11-02,322.344,HOLD,12893.8
2021-11-03,323.186,HOLD,12927.4
2021-11-04,325.547,HOLD,13021.9
2021-11-05,325.18,HOLD,13007.2
2021-11-08,326.079,HOLD,13043.2
2021-11-09,325.073,HOLD,13002.9
2021-11-10,320.09,HOLD,12803.6
2021-11-11,321.667,HOLD,12866.7
2021-11-12,325.818,HOLD,13032.7
2021-11-15,325.189,HOLD,13007.6
2021-11-16,328.518,HOLD,13140.7
2021-11-17,328.741,HOLD,13149.6
2021-11-18,330.825,HOLD,13233
2021-11-19,332.609,HOLD,13304.3
2021-11-22,329.429,HOLD,13177.2
2021-11-23,327.345,HOLD,13093.8
2021-11-24,327.568,HOLD,13102.7
2021-11-26,319.59,HOLD,12783.6
2021-11-29,326.327,HOLD,13053.1
2021-11-30,320.472,HOLD,12818.9
2021-12-01,319.978,HOLD,12799.1
2021-12-02,319.406,HOLD,12776.2
2021-12-03,313.124,HOLD,12525
2021-12-06,316.207,HOLD,12648.3
2021-12-07,324.669,HOLD,12986.8
2021-12-08,324.718,HOLD,12988.7
2021-12-09,322.905,HOLD,12916.2
2021-12-10,332.056,HOLD,13282.2
2021-12-13,329.012,HOLD,13160.5
2021-12-14,318.291,HOLD,12731.6
2021-12-15,324.408,HOLD,12976.3
2021-12-16,314.956,HOLD,12598.2
2021-12-17,313.89,HOLD,12555.6
2021-12-20,310.119,HOLD,12404.8
2021-12-21,317.273,HOLD,12690.9
2021-12-22,323.002,HOLD,12920.1
2021-12-23,324.446,HOLD,12977.9
2021-12-27,331.969,HOLD,13278.8
2021-12-28,330.806,HOLD,13232.2
2021-12-29,331.484,HOLD,13259.4
2021-12-30,328.935,HOLD,13157.4
2021-12-31,326.027,HOLD,13041.1
2022-01-03,324.505,HOLD,12980.2
2022-01-04,318.94,HOLD,12757.6
2022-01-05,306.697,HOLD,12267.9
2022-01-06,304.273,SELL,12170.9
2022-01-07,304.428,HOLD,12170.9
2022-01-10,304.651,HOLD,12170.9
2022-01-11,305.34,HOLD,12170.9
2022-01-12,308.529,HOLD,12170.9
2022-01-13,295.471,HOLD,12170.9
2022-01-14,300.706,HOLD,12170.9
2022-01-18,293.387,HOLD,12170.9
2022-01-19,294.046,HOLD,12170.9
2022-01-20,292.369,HOLD,12170.9
2022-01-21,286.97,HOLD,12170.9
2022-01-24,287.299,HOLD,12170.9
2022-01-25,279.66,HOLD,12170.9
2022-01-26,287.629,HOLD,12170.9
2022-01-27,290.663,HOLD,12170.9
2022-01-28,298.825,HOLD,12170.9
2022-01-31,301.462,HOLD,12170.9
2022-02-01,299.31,HOLD,12170.9
2022-02-02,303.866,HOLD,12170.9
2022-02-03,292.03,HOLD,12170.9
2022-02-04,296.576,HOLD,12170.9
2022-02-07,291.739,HOLD,12170.9
2022-02-08,295.239,HOLD,12170.9
2022-02-09,301.685,HOLD,12170.9
2022-02-10,293.125,HOLD,12170.9
2022-02-11,286.01,HOLD,12170.9
2022-02-14,285.971,HOLD,12170.9
2022-02-15,291.274,HOLD,12170.9
2022-02-16,290.934,HOLD,12170.9
2022-02-17,282.415,HOLD,12170.9
2022-02-18,279.695,HOLD,12170.9
2022-02-22,279.491,HOLD,12170.9
2022-02-23,272.254,HOLD,12170.9
2022-02-24,286.164,HOLD,12170.9
2022-02-25,288.806,HOLD,12170.9
2022-02-28,290.244,HOLD,12170.9
2022-03-01,286.514,HOLD,12170.9
2022-03-02,291.604,HOLD,12170.9
2022-03-03,287.456,HOLD,12170.9
2022-03-04,281.569,HOLD,12170.9
2022-03-07,270.933,HOLD,12170.9
2022-03-08,267.96,HOLD,12170.9
2022-03-09,280.248,HOLD,12170.9
2022-03-10,277.422,HOLD,12170.9
2022-03-11,272.06,HOLD,12170.9
2022-03-14,268.533,HOLD,12170.9
2022-03-15,278.937,HOLD,12170.9
2022-03-16,285.97,HOLD,12170.9
2022-03-17,286.776,HOLD,12170.9
2022-03-18,291.837,HOLD,12170.9
2022-03-21,290.604,HOLD,12170.9
2022-03-22,295.363,HOLD,12170.9
2022-03-23,290.924,HOLD,12170.9
2022-03-24,295.402,HOLD,12170.9
2022-03-25,294.994,HOLD,12170.9
2022-03-28,301.813,HOLD,12170.9
2022-03-29,306.389,HOLD,12170.9
2022-03-30,304.883,HOLD,12170.9
2022-03-31,299.492,HOLD,12170.9
2022-04-01,300.57,HOLD,12170.9
2022-04-04,305.961,BUY,11932.5
2022-04-05,301.988,HOLD,11777.5
2022-04-06,290.934,HOLD,11346.4
2022-04-07,292.75,HOLD,11417.3
2022-04-08,288.476,HOLD,11250.6
2022-04-11,277.101,HOLD,10806.9
2022-04-12,273.993,HOLD,10685.7
2022-04-13,279.394,HOLD,10896.3
2022-04-14,271.826,HOLD,10601.2
2022-04-18,272.497,HOLD,10627.4
2022-04-19,277.14,HOLD,10808.5
2022-04-20,278.17,HOLD,10848.6
2022-04-21,272.778,HOLD,10638.4
2022-04-22,266.192,HOLD,10381.5
2022-04-25,272.691,HOLD,10634.9
2022-04-26,262.491,SELL,10237.2
2022-04-27,275.119,HOLD,10237.2
2022-04-28,281.346,HOLD,10237.2
2022-04-29,269.582,HOLD,10237.2
2022-05-02,276.334,HOLD,10237.2
2022-05-03,273.721,HOLD,10237.2
2022-05-04,281.686,HOLD,10237.2
2022-05-05,269.417,HOLD,10237.2
2022-05-06,266.872,HOLD,10237.2
2022-05-09,257.013,HOLD,10237.2
2022-05-10,261.792,HOLD,10237.2
2022-05-11,253.098,HOLD,10237.2
2022-05-12,248.047,HOLD,10237.2
2022-05-13,253.652,HOLD,10237.2
2022-05-16,254.021,HOLD,10237.2
2022-05-17,259.189,HOLD,10237.2
2022-05-18,247.388,HOLD,10237.2
2022-05-19,246.472,HOLD,10237.2
2022-05-20,245.908,HOLD,10237.2
2022-05-23,253.785,HOLD,10237.2
2022-05-24,252.782,HOLD,10237.2
2022-05-25,255.605,HOLD,10237.2
2022-05-26,258.896,HOLD,10237.2
2022-05-27,266.043,HOLD,10237.2
2022-05-31,264.709,HOLD,10237.2
2022-06-01,265.245,HOLD,10237.2
2022-06-02,267.348,HOLD,10237.2
2022-06-03,262.908,HOLD,10237.2
